"id","title","description","image"
11,"Musicman","Music Man er en amerikansk producent af guitar og basguitar. Det er en division af Ernie Ball-selskabet. Virksomheden er mest kendt for sine elektriske guitarer og basguitarer. Bestemt for at opretholde et ry for kvalitet producerer Music Man-virksomheden stort set avancerede guitarer, især efter at være erhvervet af Ernie Ball i 1984.","musicman.png"
12,"Furch","Furch Guitars er en tjekkisk producent af førsteklasses akustiske guitarer og akustiske basser grundlagt i 1981 af Frantisek Furch. Furch guitarer foretrækkes blandt kunstnere som Al di Meola, Suzanne Vega, Per Gessle, Glen Hansard og Calum Graham.

Virksomhedens produktionskompleks og hovedkontor ligger i Velké Němčice, Tjekkiet. I 2019 åbnede Furch Guitars deres distributions- og servicecenter i American Nashville, TN.","furch.png"
13,"Cort","Der er ikke mange, der ved det, men Cort er verdens største producent af guitarer og basser. Firmaet, der har fabrikker i Korea, Indonesien og Kina, laver ikke bare instrumenterne, der sælges under eget navn, men det er også dem, der producerer de billigere guitarer, basser, ja, sågar forstærkere for firmaer, som Fender, PRS, Lakland, G&L, Line 6 og mange flere. Sådan en position får man ikke, hvis man ikke leverer varen, og Cort har da også altid leveret ren kvalitet til meget små priser. Ser man på deres dyrere modeller, forbavses man over det høje niveau af håndværk, og celebre musikere, som Larry Coryell, Hiram Bullock og T.M. Stevens har kastet deres kærlighed på Cort. Synes du, det lyder fristende? Det kan være, du spiller på en Cort uden at vide det…","cort.png"
14,"Korg","Korg blev grundlagt i Japan i de tidlige 60’ere af Tsutomu Katoh og hans kollega Tadashi Osanai. I 1963 introduceredes deres førstefødte Doncamatic DA-20, en elektrisk rytmeboks baseret på roterende plader. Katoh blev kontaktet af Fumio Mieda, en ingeniør, som ville bygge en ny type orgel, som desuden var programmerbar. Mieda havde i praksis konstrueret en synthesizer. 50 eksemplarer blev fremstillet og blev solgt under navnet Korg, som var en sammentrækning af navnet Keio og Organ. Resten er musikhistorie. Siden 70’erne har Korg udviklet en mængde banebrydende produkter. Alt fra Mini Korg , PE-1000 ,MS-20 , PolySix , verdens første Workstation Korg M1 ,Wavedrum og Kaoss -produkterne til verdens meste solgte synth, Microkorg , og nu i 2011: Korg Kronos . I 1975 lancerede man også verdens absolut første tuner i lommeformat, WT-10, et produkt, som siden da har fået utallige efterfølgere.","korg.png",0
15,"Nord","Clavia, som i 2008 omdøbte firmaet til Nord, blev grundlagt 1983 i en kælder i Stockholm af Hans Nordelius og Mikael Carlsson. Siden er Nord blevet en verdenssucces, og de fleste af de karakteristisk røde keyboard-modeller har da også vundet priser gentagne gange verden over.","nord.png"
16,"Roland","Roland blev etableret i 1972 i Osaka, Japan og var allerede i 1973 repræsenteret på musikmessen NAMM Show i Los Angeles, hvor de første Rytmebokse (TR-33, TR-55 og TR-7) blev vist frem sammen med præsentationen af Rolands første synthesizer SH-1000. I 1974 kom så det første digitale piano, nemlig EP-30, der markerede begyndelsen på en dominerende rolle som udvikler af digitale pianoer af højeste standard brugt af professionelle musikere, rytmiske såvel som klassiske verden over. Roland har siden hen udviklet deres unikke V-series af instrumenter, der nu betegnes som det ypperligste inden for digitale instrumenter, lige fra piano og keyboards til accordions, trommer, guitarforstærkere og pedaler.","roland.png"
17,"Akai","Akai Professional hører til i den lille og eksklusive klub af producenter vis produkter har haft en direkte indflydelse på den måde musikere tænker og laver musik. Akai Professional blev grundlagt i 1984 som et datterselskab af Akai, som på det tidspunkt udelukkende fremstillede hifi udstyr. Akai Professional lancerede allerede i 1985 verdens første integrerede 12-spors mixer/recorder og i 1986 kom den legendariske Akai S900 sampler til verdenen. Umiddelbart efter kom den første MPC, Akai MPC60, en integreret sampler, trommemaskine og MIDI sequencer som blev et uundværligt værktøj for denne tids rap og hip hop kunstnere. Akai's kraftige produktudvikling har ligeledes ført til store landvindinger indenfor harddisk recording hvor Akai i 90'erne lancerede de første 8 og 16 spors harddisk recordere der var til at betale. Akai Professional fremstiller i dag keyboards, lydkort, kontrollere, grooveboxe, og samplere i topkvalitet.","akai.png"
18,"Roli","ROLI er et London-baseret musikteknologiselskab kendt for sine højteknologiske musikinstrumenter, især Seaboard. Det blev grundlagt af amerikansk-fødte musiker og iværksætter Roland Lamb  i 2009. Dens instrumenter er blevet brugt af musikere, herunder Grimes, A. R. Rahman og Hans Zimmer.","roli.png"
19,"Moog","Moog er ubetinget et af de mest legendariske mærker indenfor analog synth. måske den mest legendariske overhovedet. Grundlægger Bob Moog var en af pionerene indenfor elektronisk musik, og udvikling af den analoge synthesizer.

Det omfattende arbejde med udvikling startede for mere end 60 år siden og resulterede i nogle af de mest legendariske instrumenter gennem tiden, bla. Moog Minimoog Model D som var den første rigtigt transportable synth. hans store modular systemer, thereminen som han arbejde med at forbedre gennem hele sit virke.

I dag er Moog Music igen en af de mest toneangivende producenter efter at Bob Moog igen overtog virksomheden som han ellers forlod tilbage i 1978 i 2002. Modsat mange andre legendariske producenter/mærker holder man stædigt fast i sin historie - også produktmæssigt - hvilket gør Moog til noget helt særligt. Det betyder at alt fra pedaler til synth. bygger på den teknologi som Bob udviklede tilbage i starten af 1970´erne og derfor indeholder den lyd som er blevet så kendt og elsket gennem tiden.","moog.png"
198,"Guild","Guild Guitars blev grundlagt i 1952 i USA af Alfred Dronge og George Mann. Oprindeligt baseret i New York, fokuserede Guild på at lave semi-elektriske jazz guitarer. Efterhånden som virksomheden udvidede, flyttede den til nye lokaler i New Jersey. I 1960’erne begyndte Guild at bygge akustiske instrumenter, herunder D-55, D-50, D-40.

Senest har Guild Guitars omhyggeligt indsamlet værktøj, viden og planer fra sin storhedstid og bygget en ny fabrik i Oxnard, Californien. Alle amerikanske Guild guitarer er produceret på denne nye fabrik. Westerly Collection supplerer det amerikansk fremstillede sortiment og hylder virksomhedens tidlige historie. Westerly-kollektionen produceres i Kina til en meget høj standard og fås til en meget attraktivt pris. Endelig inkluderer Guilds elektriske Newark St. Collection – en række modeller, hver med unik stil og stemme, der går tilbage til 1950’erne og 60’erne.","guild.png"
